username,id,title,artist,explicit,popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
aaa9rnpre89bf2i0tx7ihyem0,3Ti4iPLSScKBMN7FPxlC2e,LA DI DA,Pianella Piano,False,13,0.457,0.427,-13.181,0.049,0.799,0.894,0.165,0.573,164.058
aaa9rnpre89bf2i0tx7ihyem0,1i8U1asJiEXQjSNgMOtXcR,Levanter,Kairos Covers,False,21,0.636,0.137,-27.231,0.0403,0.988,0.929,0.101,0.163,143.666
aaa9rnpre89bf2i0tx7ihyem0,4XzYWXaGSCUo7mLfNqZCIC,Signal,DooPiano,False,0,0.45,0.178,-18.648,0.0369,0.982,0.893,0.0997,0.156,95.113
aaa9rnpre89bf2i0tx7ihyem0,06cu8LPlY0Te7Q1BORUcQ4,Like OOH-AHH,DooPiano,False,0,0.507,0.197,-19.832,0.0492,0.989,0.923,0.0686,0.126,127.62
aaa9rnpre89bf2i0tx7ihyem0,7lSdsxAbIEfjvTliKEV109,Heart Shaker,Chino Bernal,False,31,0.391,0.314,-16.197,0.0462,0.979,0.915,0.219,0.18,154.478
aaa9rnpre89bf2i0tx7ihyem0,19eZYFheHnd1pcV8AwhQCM,Mmmh,Shin Giwon Piano,False,12,0.591,0.261,-19.163,0.0534,0.985,0.945,0.0932,0.457,136.996
aaa9rnpre89bf2i0tx7ihyem0,4y1QePP6m9qAweC9rAcvOy,God's Menu,Pianella Piano,False,18,0.458,0.576,-11.064,0.0421,0.755,0.894,0.101,0.341,157.018
aaa9rnpre89bf2i0tx7ihyem0,2isyWPNHZFeUp5wNnvE6Ud,Feel Special,Pianella Piano,False,15,0.516,0.36,-13.052,0.0406,0.895,0.854,0.154,0.205,129.031
aaa9rnpre89bf2i0tx7ihyem0,1sxDWMbnxcKsRJhZTRF4j6,Love To Hate Me,Shin Giwon Piano,False,11,0.53,0.324,-18.469,0.0555,0.985,0.911,0.163,0.522,80.979
aaa9rnpre89bf2i0tx7ihyem0,1FshIZMCIwIiMh6xRCA1jG,Not For Sale,Funguypiano,False,17,0.615,0.268,-15.645,0.034,0.941,0.865,0.0861,0.466,95.019
aaa9rnpre89bf2i0tx7ihyem0,28UxySJUABsnf2HqPBtw2N,CROWN,DooPiano,False,0,0.505,0.288,-16.664,0.0368,0.979,0.895,0.106,0.394,109.841
aaa9rnpre89bf2i0tx7ihyem0,3eKbcF6ywlxh5sPpnDNoV4,Next Level - Piano,Funguypiano,False,11,0.329,0.352,-16.235,0.034,0.916,0.929,0.123,0.288,109.967
aaa9rnpre89bf2i0tx7ihyem0,2u4kBUeK6T3U0zkcQQWKZu,FEVER,Funguypiano,False,24,0.545,0.215,-17.893,0.0372,0.965,0.887,0.112,0.268,75.015
aaa9rnpre89bf2i0tx7ihyem0,1p0n7aLKppYgkhbNvLbeST,Monster,Shin Giwon Piano,False,12,0.714,0.237,-14.978,0.0502,0.991,0.91,0.137,0.584,116.012
aaa9rnpre89bf2i0tx7ihyem0,5wNWhsaaTMjhsqEysTuXb2,Maria,Shin Giwon Piano,False,14,0.614,0.322,-16.593,0.0511,0.989,0.881,0.131,0.401,128.951
aaa9rnpre89bf2i0tx7ihyem0,2LP5dXXKNUyF25ujL92AaR,Dolphin,Shin Giwon Piano,False,15,0.777,0.168,-21.109,0.0935,0.991,0.934,0.109,0.661,113.982
aaa9rnpre89bf2i0tx7ihyem0,49Pza0HCxBrVwlTurhGYSF,STAY,Shin Giwon Piano,False,17,0.566,0.281,-17.592,0.0451,0.983,0.923,0.117,0.468,87.997
aaa9rnpre89bf2i0tx7ihyem0,30UzO6cHtm3oxcizbl1Awb,The Truth Untold,Shin Giwon Piano,False,0,0.665,0.136,-17.044,0.0561,0.994,0.942,0.109,0.133,111.013
aaa9rnpre89bf2i0tx7ihyem0,4c7wbA01PwE8ZRiONOJV5K,Kiss and Make Up,Shin Giwon Piano,False,15,0.681,0.269,-18.464,0.0594,0.992,0.916,0.136,0.814,100.03
aaa9rnpre89bf2i0tx7ihyem0,7qJzHg9AOES58AKwDMk7AN,Time for the moon night,Shin Giwon Piano,False,9,0.572,0.313,-15.814,0.0458,0.988,0.922,0.238,0.254,170.001
aaa9rnpre89bf2i0tx7ihyem0,1aggjdqWYiR60fgxr8DEd2,Anti-Romantic - Piano,Funguypiano,False,16,0.622,0.118,-24.868,0.0415,0.985,0.924,0.0966,0.177,140.032
aaa9rnpre89bf2i0tx7ihyem0,4f40Yx6ZJptRReytdrdSRQ,Nonstop,Shin Giwon Piano,False,13,0.638,0.262,-18.33,0.0409,0.981,0.91,0.137,0.448,123.992
aaa9rnpre89bf2i0tx7ihyem0,30HN2V0C3LWWLvvWgiRlq4,Give You My Heart - Piano Arrangement,Shin Giwon Piano,False,8,0.455,0.261,-15.598,0.0508,0.982,0.928,0.202,0.226,75.187
aaa9rnpre89bf2i0tx7ihyem0,4ecq7VvjPvpyr5cDaqJLGx,"How can I love the heartbreak, you`re the one I love - Piano Arrangement",Shin Giwon Piano,False,29,0.679,0.14,-17.326,0.05,0.987,0.923,0.144,0.125,130.013
aaa9rnpre89bf2i0tx7ihyem0,2DyJvqlAhFYq7spln2CExw,Kill This Love Lullaby,Hobismorning,False,15,0.511,0.222,-18.037,0.0442,0.832,0.969,0.116,0.0766,104.965
aaa9rnpre89bf2i0tx7ihyem0,73uiiQ8hCskyW7TsrAtZ6X,Me Gustas Tu,Shin Giwon Piano,False,9,0.777,0.232,-13.839,0.0479,0.993,0.89,0.18,0.591,106.019
aaa9rnpre89bf2i0tx7ihyem0,198CRDPx0Ij34YMPXg8qPO,Alcohol-Free - Piano Version,Pianella Piano,False,7,0.245,0.534,-12.676,0.0348,0.867,0.851,0.124,0.414,97.01
aaa9rnpre89bf2i0tx7ihyem0,6CrdJB4KkB0sz6jGn1IlB4,First Time - Piano,Funguypiano,False,8,0.694,0.216,-20.388,0.0384,0.971,0.9,0.151,0.242,107.959
aaa9rnpre89bf2i0tx7ihyem0,5mzFkohf3WYe2wZfOEnYpa,Baby Blue Love - Piano,Funguypiano,False,7,0.61,0.213,-20.994,0.0394,0.951,0.978,0.139,0.422,116.971
aaa9rnpre89bf2i0tx7ihyem0,1mf24pMmFv4LJSs5Oa25hs,Anti-Romantic - Piano Instrumental,Shin Giwon Piano,False,25,0.587,0.234,-19.479,0.0486,0.983,0.947,0.179,0.122,143.017
aaa9rnpre89bf2i0tx7ihyem0,23JNlNHX53wXrzwgYllfH3,0X1=LOVESONG (I Know I Love You) - Piano Instrumental,Shin Giwon Piano,False,24,0.622,0.186,-19.808,0.0374,0.986,0.944,0.12,0.327,105.009
aaa9rnpre89bf2i0tx7ihyem0,1dCaZHwecqdF3e968ktdef,Ice Cream Cake,Shin Giwon Piano,False,9,0.515,0.246,-15.237,0.0354,0.989,0.943,0.136,0.122,171.967
aaa9rnpre89bf2i0tx7ihyem0,0JBslYs55LpCFoXMn87w0b,La Vie en Rose,Shin Giwon Piano,False,12,0.737,0.312,-16.342,0.0494,0.989,0.885,0.105,0.799,116.018
aaa9rnpre89bf2i0tx7ihyem0,0WEePthdYPoHkWa9fNegg6,On The Ground,Shin Giwon Piano,False,15,0.58,0.225,-18.907,0.0353,0.984,0.937,0.111,0.168,94.992
aaa9rnpre89bf2i0tx7ihyem0,5ctTI8cjlWhwxGbKc9F2c0,Fake & True,Shin Giwon Piano,False,8,0.705,0.302,-16.257,0.0557,0.98,0.865,0.12,0.776,126.033
aaa9rnpre89bf2i0tx7ihyem0,5dz96MlB3nxRFOxknfXlL0,Your Eyes Tell - Piano Solo,Funguypiano,False,20,0.354,0.258,-15.142,0.0433,0.932,0.88,0.143,0.0982,142.215
aaa9rnpre89bf2i0tx7ihyem0,7sRvtpOvXdla6QvKnNFG9Q,Bet You Wanna,DooPiano,False,21,0.582,0.27,-17.93,0.0529,0.986,0.915,0.156,0.275,105.993
aaa9rnpre89bf2i0tx7ihyem0,1P1M3tHWCd4DVAtixfCdwD,Spring Day,Kairos Covers,False,19,0.609,0.37,-13.584,0.062,0.992,0.868,0.147,0.147,103.216
aaa9rnpre89bf2i0tx7ihyem0,7cczey0TWVOxsWxMtMH9q5,HWAA,Shin Giwon Piano,False,13,0.639,0.157,-19.406,0.0415,0.988,0.953,0.0839,0.322,95.975
aaa9rnpre89bf2i0tx7ihyem0,2xMlwn3y51Fimk5b2ornSb,Secret Story of the Swan,Shin Giwon Piano,False,11,0.72,0.288,-15.697,0.0514,0.987,0.903,0.126,0.823,103.028
aaa9rnpre89bf2i0tx7ihyem0,3YhzWdoDeIWvxtj8h4zrMl,Still With You,Smyang Piano,False,54,0.627,0.385,-12.712,0.0294,0.907,0.929,0.104,0.132,88.007
aaa9rnpre89bf2i0tx7ihyem0,1grSHwGhPSMRLJpSgFwy3f,gogobebe,Shin Giwon Piano,False,10,0.622,0.379,-13.932,0.0404,0.993,0.902,0.14,0.438,97.021
aaa9rnpre89bf2i0tx7ihyem0,5AdEVO1K0sasKy2MlEf9JC,All About You,Shin Giwon Piano,False,40,0.721,0.185,-16.276,0.0489,0.994,0.92,0.142,0.1,132.01
